,영화명,대표국적,배급사,감독,배우1,배우2,배우3
0,태극기 휘날리며,한국,(주)다자인소프트,강제규,장동건,원빈,이은주
1,트로이,미국,워너브러더스 코리아(주),볼프강 페터젠,다이앤 크루거,올랜도 블룸,에릭 바나
2,내 머리 속의 지우개,한국,CJ ENM,이재한,정우성,손예진,데이비드 맥기니스
3,귀신이 산다,한국,(주)시네마서비스,김상진,김응수,장서희,차승원
4,투모로우,미국,이십세기폭스필름코퍼레이션,롤랜드 에머리히,데니스 퀘이드,제이크 질렌할,이안 홈
5,우리 형,한국,CJ ENM,안권태,원빈,조성제,신하균
6,해리포터와 아즈카반의 죄수,미국,워너브러더스 코리아(주),알폰소 쿠아론,다니엘 래드클리프,엠마 왓슨,루퍼트 그린트
7,실미도,한국,(주)시네마서비스,강우석,이용도,설경구,안성기
8,슈렉2,미국,CJ ENM,캘리 애스버리,마이크 마이어스,카메론 디아즈,에디 머피
9,스파이더맨 2,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,샘 레이미,토비 맥과이어,커스틴 던스트,
10,바람의 파이터,한국,영화사청어람(주),양윤호,양동근,히라야마 아야,허명행
11,오페라의 유령,미국,(주)팝엔터테인먼트,조엘 슈마허,제라드 버틀러,에미 로섬,패트릭 윌슨
12,내 여자친구를 소개합니다,한국,CJ ENM,곽재용,전지현,장혁,김정태
13,늑대의 유혹,한국,(주)쇼박스,김태균,강동원,이청아,조한선
14,가족,한국,(주)튜브엔터테인먼트,이정철,수애,주현,박지빈
15,시실리 2km,한국,(주)쇼박스,신정원,권오중,김윤석,임은경
16,"아이, 로봇",미국,이십세기폭스필름코퍼레이션,알렉스 프로야스,윌 스미스,브리짓 모나핸,
17,S 다이어리,한국,CJ ENM,권종관,공유,김광일,홍윤희
18,알포인트,한국,(주)시네마서비스,공수창,감우성,손병호,박원상
19,주홍글씨,한국,(주)쇼박스,변혁,성현아,한석규,이은주
20,브리짓 존스의 일기2 : 열정과 애정,영국,UIP코리아,비번 키드론,르네 젤위거,휴 그랜트,린 콜린스
21,어린 신부,한국,코리아픽쳐스(주),김호준,김래원,김보경,안선영
22,터미널,미국,CJ ENM,스티븐 스필버그,톰 행크스,캐서린 제타-존스,
23,나비효과,미국,(주)쇼박스,에릭 브레스,에이미 스마트,애쉬튼 커처,에릭 스톨츠
24,역도산,한국,CJ ENM,송해성,설경구,이명수,유병훈
25,범죄의 재구성,한국,(주)쇼박스,최동훈,김윤석,박신양,주진모
26,반 헬싱,미국,(주)스튜디오이쩜영,스티븐 소머즈,케이트 베킨세일,휴 잭맨,리차드 록스버그
27,이프 온리,미국,와이드 릴리즈(주),길 정거,제니퍼 러브 휴잇,폴 니콜스,
28,여선생 VS 여제자,한국,CJ ENM,장규성,김응수,이지영,이지훈
29,패션 오브 크라이스트,미국,(주)이수C&E,멜 깁슨,제임스 카비젤,모니카 벨루치,마이아 모겐스턴
30,아라한 장풍대작전,한국,(주)시네마서비스,류승완,류승범,윤소이,안성기
31,킹 아더,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,안톤 후쿠아,스티븐 딜레인,클라이브 오웬,이안 그루퍼드
32,내 남자의 로맨스,한국,CJ ENM,박제현,김상경,박동빈,김정은
33,효자동 이발사,한국,(주)쇼박스,임찬상,문소리,송강호,주진모
34,아는 여자,한국,(주)시네마서비스,장진,이나영,정재영,이재용
35,"달마야, 서울 가자",한국,(주)시네마서비스,육상효,김지영,신현준,유해진
36,반지의 제왕 : 왕의 귀환,미국,워너브러더스 코리아(주),피터 잭슨,비고 모텐슨,일라이저 우드,이안 맥켈런
37,신부수업,한국,코리아픽쳐스(주),허인무,하지원,권상우,김도형
38,블레이드 3,미국,(주)쇼박스,데이빗 S. 고이어,웨슬리 스나입스,라이언 레이놀즈,
39,슈퍼스타 감사용,한국,CJ ENM,김종현,이범수,공유,윤진서
40,인크레더블,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,브래드 버드,홀리 헌터,크레이그 T. 넬슨,사무엘 L. 잭슨
41,분신사바,한국,브에나비스타인터내셔널코리아,안병기,김규리,이유리,이세은
42,말죽거리 잔혹사,한국,CJ ENM,유하,권상우,이정진,한가인
43,콜래트럴,미국,UIP코리아,마이클 만,톰 크루즈,제이미 폭스,제이다 핀켓 스미스
44,투 가이즈,한국,쇼이스트(주),박헌수,김성훈,차태현,박중훈
45,령,한국,(주)쇼박스,김태경,김하늘,신이,류진
46,돈 텔 파파,한국,CJ ENM,이상훈,정웅인,유승호,채민서
47,누구나 비밀은 있다,한국,(주)시네마서비스,장현수,김효진,이병헌,추상미
48,꽃피는 봄이 오면,한국,영화사청어람(주),류장하,최민식,장신영,김호정
49,80일간의 세계 일주,미국,(주)쇼박스,프랑코 코라시,성룡,세실 드 프랑스,
50,목포는 항구다,한국,코리아픽쳐스(주),김지훈,김윤태,차인표,조재현
51,빌리지,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,M. 나이트 샤말란,와킨 피닉스,브라이스 달라스 하워드,
52,그놈은 멋있었다,한국,프라임픽쳐스,이환경,송승헌,김지혜,정다빈
53,본 슈프리머시,미국,UIP코리아,폴 그린그래스,맷 데이먼,칼 어번,프란카 포텐테
54,레지던트 이블 2-아포칼립스,미국,(주)시네마서비스,알렉산더 윗,오데드 페르,시에나 길로리,
55,얼굴 없는 미녀,한국,CJ ENM,김인식,김혜수,김태우,한정수
